,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
335,336,31,Others,Once a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,3,No,Often,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,4,No,2,2,Wide product selection,Reducing packaging waste,2023-06-08,22
336,337,31,Female,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,No,2,No,2,2,Competitive prices,Shipping speed and reliability,2023-06-08,22
337,338,34,Prefer not to say,Multiple times a week,Beauty and Personal Care,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,True,Heavily,Yes,5,Yes,5,5,Wide product selection,Product quality and accuracy,2023-06-08,22
338,339,26,Female,Once a month,Clothing and Fashion,No,Few times a week,categories,Multiple pages,1,Yes,Always,High shipping costs,Often,True,Moderately,Yes,1,Yes,1,3,User-friendly website/app interface,Product quality and accuracy,2023-06-08,22
339,340,26,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,1,Sometimes,1,1,Product recommendations,Customer service responsiveness,2023-06-08,22
340,341,24,Prefer not to say,Less than once a month,Clothing and Fashion;others,Sometimes,Rarely,others,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Rarely,No,4,Sometimes,4,4,Product recommendations,Customer service responsiveness,2023-06-08,22
341,342,26,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,categories,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Rarely,Sometimes,4,No,4,3,Competitive prices,Customer service responsiveness,2023-06-08,22
342,343,29,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,3,Sometimes,2,1,Product recommendations,Reducing packaging waste,2023-06-08,22
343,344,37,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,No,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-08,22
344,345,34,Others,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,First page,3,Maybe,Often,Changed my mind or no longer need the item,Often,True,Moderately,Yes,3,No,3,3,User-friendly website/app interface,Customer service responsiveness,2023-06-08,22
345,346,31,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Often,True,Heavily,Yes,2,Sometimes,3,1,Competitive prices,Customer service responsiveness,2023-06-08,22
346,347,27,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,Yes,Always,Changed my mind or no longer need the item,Often,True,Moderately,Yes,2,Yes,2,2,Product recommendations,Customer service responsiveness,2023-06-08,22
347,348,23,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,Yes,1,2,Wide product selection,Product quality and accuracy,2023-06-08,22
348,349,21,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,3,Maybe,Always,Found a better price elsewhere,Often,True,Heavily,Yes,2,No,2,2,Wide product selection,Customer service responsiveness,2023-06-08,22
349,350,53,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,True,Moderately,Sometimes,1,Sometimes,2,1,Wide product selection,Customer service responsiveness,2023-06-08,22
350,351,26,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,2,Maybe,Often,Changed my mind or no longer need the item,Often,True,Occasionally,Yes,3,Sometimes,2,2,Competitive prices,Shipping speed and reliability,2023-06-08,22
351,352,28,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,Sometimes,2,Yes,2,2,Competitive prices,Customer service responsiveness,2023-06-08,23
352,353,47,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-08,23
353,354,37,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Often,True,Heavily,Yes,2,No,2,2,Competitive prices,Product quality and accuracy,2023-06-08,23
354,355,37,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a week,Filter,Multiple pages,1,No,Often,Found a better price elsewhere,Often,True,Heavily,No,3,No,1,1,Product recommendations,Shipping speed and reliability,2023-06-08,23
355,356,39,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Rarely,Sometimes,5,Sometimes,3,2,Competitive prices,Shipping speed and reliability,2023-06-08,23
356,357,40,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,2,No,2,3,Wide product selection,Customer service responsiveness,2023-06-08,23
357,358,23,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,True,Moderately,Yes,2,No,2,1,User-friendly website/app interface,Shipping speed and reliability,2023-06-08,23
358,359,25,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,2,No,2,2,Product recommendations,Product quality and accuracy,2023-06-08,23
359,360,34,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,5,Yes,Always,Changed my mind or no longer need the item,Always,True,Rarely,Sometimes,5,Sometimes,4,1,Competitive prices,Customer service responsiveness,2023-06-08,23
360,361,26,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,2,Sometimes,2,2,Competitive prices,Shipping speed and reliability,2023-06-08,23
361,362,31,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Keyword,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,No,4,No,2,3,Product recommendations,Customer service responsiveness,2023-06-08,23
362,363,26,Female,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,4,No,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,4,No,2,2,Wide product selection,Product quality and accuracy,2023-06-08,23
363,364,34,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,2,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-08,23
364,365,18,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,1,Wide product selection,Customer service responsiveness,2023-06-08,23
365,366,40,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,others,Multiple pages,3,No,Often,High shipping costs,Often,True,Moderately,Sometimes,2,Yes,2,2,Product recommendations,Customer service responsiveness,2023-06-08,23
366,367,42,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Keyword,First page,3,Maybe,Often,Changed my mind or no longer need the item,Rarely,True,Occasionally,No,3,Sometimes,4,2,Product recommendations,Customer service responsiveness,2023-06-08,23
367,368,35,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,2023-06-08,23
368,369,37,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,First page,3,Yes,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,2023-06-08,23
369,370,46,Male,Less than once a month,Home and Kitchen;others,Sometimes,Rarely,others,First page,4,Maybe,Never,others,Rarely,True,Rarely,Sometimes,4,Sometimes,4,4,Product recommendations,Product quality and accuracy,2023-06-08,23
370,371,24,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,5,Maybe,Often,Found a better price elsewhere,Sometimes,True,Rarely,Sometimes,5,Sometimes,4,2,Competitive prices,I don't have any problem with Amazon,2023-06-08,23
371,372,35,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Often,True,Moderately,No,2,No,3,2,Competitive prices,Product quality and accuracy,2023-06-08,23
372,373,46,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Often,True,Moderately,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,2023-06-08,23
373,374,32,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,2,Sometimes,2,1,Product recommendations,Customer service responsiveness,2023-06-08,23
374,375,35,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,High shipping costs,Often,True,Moderately,Sometimes,2,No,2,2,Product recommendations,Customer service responsiveness,2023-06-08,23
375,376,36,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,2,Sometimes,2,1,Wide product selection,Reducing packaging waste,2023-06-08,23
377,378,43,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Rarely,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,1,Sometimes,3,1,Competitive prices,No problems with Amazon,2023-06-08,23
378,379,20,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,True,Moderately,No,4,No,2,2,Product recommendations,Product quality and accuracy,2023-06-08,23
379,380,34,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,2,No,1,1,User-friendly website/app interface,Product quality and accuracy,2023-06-08,23
380,381,34,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Occasionally,Sometimes,1,Sometimes,3,1,Competitive prices,Customer service responsiveness,2023-06-08,23
381,383,25,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,Multiple pages,3,Yes,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,No,4,3,Product recommendations,Shipping speed and reliability,2023-06-08,23
382,384,21,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,3,Sometimes,1,1,Competitive prices,Customer service responsiveness,2023-06-08,23
383,385,24,Prefer not to say,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,No,1,1,Competitive prices,Customer service responsiveness,2023-06-08,23
384,386,36,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Often,True,Rarely,Sometimes,2,Yes,2,1,Product recommendations,Customer service responsiveness,2023-06-08,23
385,387,46,Male,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,1,Sometimes,3,2,Product recommendations,Reducing packaging waste,2023-06-08,23
386,388,27,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Often,True,Heavily,Yes,1,No,5,1,Competitive prices,Customer service responsiveness,2023-06-08,23
387,389,25,Male,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,First page,2,No,Often,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,2,Sometimes,3,1,Wide product selection,Product quality and accuracy,2023-06-08,23
388,390,43,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,Sometimes,5,2,Wide product selection,Customer service responsiveness,2023-06-08,23
389,391,32,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,1,Yes,2,1,Competitive prices,Customer service responsiveness,2023-06-08,23
390,392,18,Male,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,2,No,Often,others,Often,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-08,23
391,393,45,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,Maybe,Never,High shipping costs,Sometimes,True,Occasionally,No,3,No,2,3,Product recommendations,Reducing packaging waste,2023-06-08,23
392,394,25,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Often,True,Heavily,Yes,1,Yes,2,1,Product recommendations,Reducing packaging waste,2023-06-08,23
393,395,45,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,2,No,2,3,Product recommendations,Customer service responsiveness,2023-06-08,23
394,396,32,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Filter,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,No,3,2,Product recommendations,Customer service responsiveness,2023-06-08,23
395,397,42,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Maybe,Always,High shipping costs,Often,True,Moderately,Yes,1,No,2,2,Wide product selection,Customer service responsiveness,2023-06-08,23
396,398,35,Female,Multiple times a week,Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,Sometimes,3,No,3,4,Product recommendations,Customer service responsiveness,2023-06-08,23
397,399,35,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,others,First page,4,Maybe,Often,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,4,Sometimes,4,3,Competitive prices,Customer service responsiveness,2023-06-08,23
398,400,52,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Few times a week,Keyword,Multiple pages,2,Maybe,Always,Found a better price elsewhere,Always,True,Moderately,Sometimes,3,Sometimes,1,1,User-friendly website/app interface,Shipping speed and reliability,2023-06-08,23
399,401,24,Female,Less than once a month,Home and Kitchen,No,Rarely,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Heavily,Yes,4,Yes,1,3,Competitive prices,Product quality and accuracy,2023-06-09,0
400,402,28,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,2,Yes,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,2,No,3,2,Wide product selection,Product quality and accuracy,2023-06-09,1
401,403,33,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,2,Yes,2,2,User-friendly website/app interface,Product quality and accuracy,2023-06-09,1
402,404,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Never,True,Moderately,Sometimes,4,Sometimes,5,5,Wide product selection,Product quality and accuracy,2023-06-09,1
403,405,21,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Yes,1,Yes,2,2,User-friendly website/app interface,Product quality and accuracy,2023-06-09,2
404,406,34,Female,Few times a month,Home and Kitchen,No,Few times a month,categories,First page,3,No,Always,Found a better price elsewhere,Sometimes,True,Occasionally,No,1,No,3,3,Product recommendations,Reducing packaging waste,2023-06-09,3
405,407,23,Prefer not to say,Once a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,Sometimes,2,2,Competitive prices,Customer service responsiveness,2023-06-09,3
406,408,34,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Rarely,others,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,Sometimes,2,5,User-friendly website/app interface,Shipping speed and reliability,2023-06-09,3
407,409,34,Female,Once a week,Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,2,Sometimes,2,2,Competitive prices,Reducing packaging waste,2023-06-09,3
408,410,25,Female,Less than once a month,others,Sometimes,Rarely,categories,First page,3,Maybe,Rarely,Found a better price elsewhere,Never,True,Never,Sometimes,3,Sometimes,3,3,Product recommendations,Shipping speed and reliability,2023-06-09,3
409,411,32,Male,Less than once a month,others,Sometimes,Rarely,categories,First page,1,No,Always,Changed my mind or no longer need the item,Never,True,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,2023-06-09,3
410,412,24,Female,Few times a month,Home and Kitchen,Yes,Few times a week,Keyword,First page,1,Yes,Often,others,Sometimes,True,Heavily,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-09,3
411,413,34,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Never,Sometimes,5,No,1,3,Product recommendations,Reducing packaging waste,2023-06-09,4
412,414,44,Male,Once a week,Beauty and Personal Care,Sometimes,Few times a week,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,4
413,415,23,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,2,No,2,1,Wide product selection,Customer service responsiveness,2023-06-09,4
414,416,23,Female,Few times a month,Clothing and Fashion,Sometimes,Rarely,categories,First page,3,No,Sometimes,Found a better price elsewhere,Often,True,Moderately,No,3,No,4,2,Product recommendations,Customer service responsiveness,2023-06-09,4
415,417,34,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a month,Keyword,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,No,2,2,Product recommendations,Reducing packaging waste,2023-06-09,4
416,418,23,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Filter,First page,3,No,Often,Found a better price elsewhere,Often,True,Occasionally,No,3,Yes,1,4,Competitive prices,Reducing packaging waste,2023-06-09,4
417,419,36,Female,Once a month,Home and Kitchen,No,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-09,9
418,420,24,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,3,No,3,3,Competitive prices,Customer service responsiveness,2023-06-09,13
419,421,21,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,Filter,Multiple pages,4,Yes,Often,High shipping costs,Always,True,Heavily,Yes,3,Yes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,15
420,422,21,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,2,Yes,2,2,Competitive prices,Customer service responsiveness,2023-06-09,15
421,423,45,Male,Once a month,Clothing and Fashion,Sometimes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Always,Found a better price elsewhere,Often,True,Occasionally,Yes,2,No,3,2,Competitive prices,Product quality and accuracy,2023-06-09,15
422,424,21,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Often,True,Occasionally,No,2,Sometimes,2,2,Competitive prices,Customer service responsiveness,2023-06-09,15
423,425,23,Female,Once a week,Clothing and Fashion,Yes,Few times a week,categories,First page,3,Maybe,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,2,Sometimes,2,2,Product recommendations,Reducing packaging waste,2023-06-09,15
424,426,21,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Keyword,First page,2,No,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Yes,3,Sometimes,1,1,Product recommendations,Reducing packaging waste,2023-06-09,15
425,427,34,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,2,No,3,3,Product recommendations,Reducing packaging waste,2023-06-09,15
426,428,21,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Rarely,Sometimes,2,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,15
427,429,23,Female,Once a week,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,2,No,4,3,Product recommendations,Customer service responsiveness,2023-06-09,15
428,430,21,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,4,Product recommendations,Reducing packaging waste,2023-06-09,15
429,431,32,Female,Once a month,others,Sometimes,Few times a month,others,First page,2,No,Rarely,others,Rarely,True,Moderately,No,3,No,3,3,Product recommendations,Customer service responsiveness,2023-06-09,15
430,432,35,Prefer not to say,Once a week,Groceries and Gourmet Food,No,Few times a week,Filter,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,4,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-09,15
431,433,37,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,2,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Rarely,Sometimes,2,Sometimes,2,1,Product recommendations,Reducing packaging waste,2023-06-09,15
432,434,23,Female,Once a week,Clothing and Fashion,No,Few times a month,categories,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,True,Occasionally,Yes,1,Sometimes,4,2,Product recommendations,Reducing packaging waste,2023-06-09,15
433,435,33,Others,Few times a month,Clothing and Fashion,Sometimes,Few times a month,others,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-09,15
434,436,35,Female,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,Multiple pages,4,Maybe,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,2,Sometimes,3,2,Product recommendations,Reducing packaging waste,2023-06-09,15
435,437,44,Female,Once a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,4,4,Product recommendations,Reducing packaging waste,2023-06-09,15
436,438,34,Male,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,4,Maybe,Often,others,Often,True,Moderately,Sometimes,2,Sometimes,3,2,Competitive prices,Reducing packaging waste,2023-06-09,15
437,439,34,Prefer not to say,Once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,True,Occasionally,No,2,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-09,15
438,440,34,Female,Few times a month,others,No,Few times a month,categories,First page,2,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,1,No,3,1,Competitive prices,Customer service responsiveness,2023-06-09,15
